address;shares;value_before;value_after;loss_previewdiff;loss_analytic
0x5f0895edc43ce1e76f52c9f5f8baf8f2c01cb1a1;1987241538696219866620;2005394243487420;857657527340196;1147736716147224;1147736716147223
0xb7696dca94a198b4e3a10fb37c37101f02d42613;1984557564834117911980;2002685752532535;856499172735991;1146186579796544;1146186579796543
0xd8e256e94669ebc7f5b26197be4c0b153f33f2c4;1983356073393325453326;2001473285918867;855980630747931;1145492655170936;1145492655170935
0x9dc552a659d48c4479e2231e56a9f93161483ee8;1979054304182567014985;1997132221662668;854124064914013;1143008156748655;1143008156748655
0x555cce49bbbcd0143e14a44cc7cc6fbc6c761679;1965099422016704233740;1983049866891478;848101390015344;1134948476876134;1134948476876133
0xff7f1d257e57608d7c10f4da7652f43a5a93d389;1856903973741469353129;1873866093848444;801406190247085;1072459903601359;1072459903601359
0xff2420a08b4cba07a79953bbdf131788cb36f859;1795053512058493322532;1811450651437022;774712648974456;1036738002462566;1036738002462566
0xd9a0a16e5a634bf5a02962b667f17c65bae14086;1791910003821526464131;1808278428433419;773355967640460;1034922460792959;1034922460792958
0x18f6ce899abb6c1e2e1a06d890e8b3d462074072;1786258550553912290713;1802575351263621;770916902564072;1031658448699549;1031658448699548
0x8f32fcf79be6efe7a8353447e2756806e2ca87e2;1741830377399945452545;1757741343440858;751742506100685;1005998837340173;1005998837340172
0x431b5ddb0ace97ebc3d936403ea25831bad832b6;1688919769639837876072;1704347417158925;728907244187142;975440172971783;975440172971783
0x14fe3f2889cd05977ad4e2508e44cb0f3d7f56bb;1598783026136876369513;1613387308371076;690005854975055;923381453396021;923381453396020
0x350dedcc07acc2b3a430037435451b8d17fe3248;1489840690105874795432;1503449825033254;642988311951919;860461513081335;860461513081335
0xea9493c12b1edbacd8eb06fc502cc56354979ada;1478004831010512002346;1491505849812134;637880169107674;853625680704460;853625680704459
0x2d5afce86989a860ace230db8c06f0af49df4d99;1474186403224216930299;1487652542122706;636232204695825;851420337426881;851420337426881
0x421b0d8cce6f38fc8c4344a29e643da6cb85e4ef;1319553943092847498109;1331607572567976;569495629991468;762111942576508;762111942576508
0x8659e896bd1d7a32e2efc9ddc097f66a330d8f6d;1313737138087177711200;1325737633234123;566985202093782;758752431140341;758752431140341
0x28261747a227106b94f901a5b7d0992eecfaa378;1223716290590146097773;1234894479118672;528133831502954;706760647615718;706760647615717
0xdd24aa358280b0f2532342166191225f67a0f2b2;1168028467719271487089;1178697968909417;504099973747682;674597995161735;674597995161734
0x880fbd553bc80c8489801ece89472f7cb76997a1;1090268455588648001560;1100227648284692;470540158077943;629687490206749;629687490206748
